preferredName_A,preferredName_B,score,Experimental System,Experimental System Type
PPARD,UCP2,0.743,functional_association,functional
PPARD,XPR1,0.748,functional_association,functional
PPARD,PPARA,0.887,functional_association,functional
PPARD,ABCA1,0.678,functional_association,functional
PPARD,RXRA,0.995,functional_association,functional
CASP3,SLC2A4,0.433,functional_association,functional
CASP3,NFYC,0.433,functional_association,functional
CASP3,CYP1A1,0.446,functional_association,functional
COQ2,TRIT1,0.471,functional_association,functional
CASP3,FOXM1,0.457,functional_association,functional
PPARD,LEP,0.711,functional_association,functional
PPARD,PTGS2,0.661,functional_association,functional
PPARD,FOXO1,0.496,functional_association,functional
PPARD,HELZ2,0.562,functional_association,functional
PPARD,SCD,0.506,functional_association,functional
PPARD,HIF1A,0.51,functional_association,functional
PPARD,CPT2,0.511,functional_association,functional
PPARD,NR1H4,0.514,functional_association,functional
PPARD,NR1H3,0.533,functional_association,functional
PPARD,PNPLA2,0.557,functional_association,functional
PPARD,TNF,0.563,functional_association,functional
PPARD,JUN,0.654,functional_association,functional
PPARD,IL6,0.579,functional_association,functional
PPARD,MMP9,0.585,functional_association,functional
PPARD,LPL,0.59,functional_association,functional
PPARD,AKT1,0.603,functional_association,functional
PPARD,ADIPOQ,0.613,functional_association,functional
PPARD,SREBF1,0.637,functional_association,functional
COQ2,WDR97,0.537,functional_association,functional
OLR1,ABCG1,0.631,functional_association,functional
COQ2,COASY,0.469,functional_association,functional
TERT,GSK3B,0.435,functional_association,functional
OLR1,LPL,0.591,functional_association,functional
OLR1,ABCA1,0.668,functional_association,functional
OLR1,CD36,0.852,functional_association,functional
TERT,MMP9,0.41,functional_association,functional
TERT,MTHFR,0.417,functional_association,functional
TERT,PSEN1,0.421,functional_association,functional
TERT,TNF,0.446,functional_association,functional
OLR1,TNF,0.575,functional_association,functional
TERT,FOXM1,0.452,functional_association,functional
TERT,PXDNL,0.455,functional_association,functional
TERT,CASP3,0.468,functional_association,functional
TERT,IL6,0.479,functional_association,functional
TERT,FOXO1,0.499,functional_association,functional
TERT,INS,0.516,functional_association,functional
OLR1,IL6,0.591,functional_association,functional
OLR1,AGT,0.55,functional_association,functional
TERT,ESR1,0.553,functional_association,functional
CYB5B,CYP1A1,0.623,functional_association,functional
CASP3,ADIPOQ,0.465,functional_association,functional
CYB5B,HSD3B1,0.502,functional_association,functional
CYB5B,H6PD,0.522,functional_association,functional
CYB5B,CYP2C8,0.566,functional_association,functional
CYB5B,CYP2C19,0.587,functional_association,functional
CYB5B,CYP2D6,0.587,functional_association,functional
CYB5B,CYP3A4,0.923,functional_association,functional
OLR1,MMP9,0.515,functional_association,functional
CYB5B,CYP17A1,0.98,functional_association,functional
CYB5B,SCD,0.985,functional_association,functional
CYB5B,POR,0.997,functional_association,functional
OLR1,GAPDH,0.402,functional_association,functional
OLR1,AKT1,0.422,functional_association,functional
OLR1,PTGS2,0.424,functional_association,functional
TERT,STK11,0.517,functional_association,functional
TERT,ACTB,0.58,functional_association,functional
CYP7B1,CH25H,0.989,functional_association,functional
CYP7B1,ABCB11,0.689,functional_association,functional
CYP7B1,CYP2D6,0.58,functional_association,functional
CYP7B1,HMGCS1,0.637,functional_association,functional
CYP7B1,SCD,0.646,functional_association,functional
CYP7B1,CYP1A1,0.652,functional_association,functional
CYP7B1,DHCR7,0.659,functional_association,functional
CYP7B1,CYP19A1,0.674,functional_association,functional
CYP7B1,FDFT1,0.69,functional_association,functional
CYP7B1,LBR,0.519,functional_association,functional
CYP7B1,FAXDC2,0.704,functional_association,functional
CYP7B1,LSS,0.812,functional_association,functional
CYP7B1,ABCG5,0.817,functional_association,functional
CYP7B1,NR1H4,0.879,functional_association,functional
CYP7B1,CYP17A1,0.933,functional_association,functional
CYP7B1,HSD3B1,0.97,functional_association,functional
CYP7B1,NSDHL,0.578,functional_association,functional
CYP7B1,DHCR24,0.509,functional_association,functional
TERT,BCL2,0.586,functional_association,functional
CYP7B1,SREBF1,0.425,functional_association,functional
TERT,GAPDH,0.632,functional_association,functional
TERT,HIF1A,0.702,functional_association,functional
TERT,MTOR,0.738,functional_association,functional
TERT,AKT1,0.903,functional_association,functional
CYP7B1,IDI1,0.415,functional_association,functional
CYP7B1,ABCC2,0.417,functional_association,functional
CYP7B1,XPR1,0.447,functional_association,functional
CYP7B1,HMGCS2,0.503,functional_association,functional
CYP7B1,ABCG1,0.453,functional_association,functional
CYP7B1,CYB5A,0.456,functional_association,functional
CYP7B1,HSD11B1,0.463,functional_association,functional
CYP7B1,SREBF2,0.467,functional_association,functional
CYP7B1,FOXO1,0.477,functional_association,functional
CYP7B1,ABCA1,0.486,functional_association,functional
CASP3,STK11,0.458,functional_association,functional
LEP,SCD5,0.487,functional_association,functional
CASP3,CYP19A1,0.468,functional_association,functional
LEP,JUN,0.548,functional_association,functional
LEP,PTGS2,0.52,functional_association,functional
LEP,GPX2,0.521,functional_association,functional
LEP,NR1H4,0.537,functional_association,functional
LEP,GPX7,0.537,functional_association,functional
LEP,GPX5,0.54,functional_association,functional
LEP,GPX6,0.54,functional_association,functional
LEP,GPX3,0.55,functional_association,functional
LEP,PNLIP,0.516,functional_association,functional
LEP,G6PC2,0.557,functional_association,functional
LEP,MLXIPL,0.56,functional_association,functional
LEP,LPIN1,0.571,functional_association,functional
LEP,NCOA2,0.572,functional_association,functional
LEP,ELOVL6,0.575,functional_association,functional
LEP,GPX8,0.577,functional_association,functional
LEP,HELZ2,0.519,functional_association,functional
LEP,GPT2,0.506,functional_association,functional
LEP,ACSL1,0.582,functional_association,functional
LEP,ACLY,0.438,functional_association,functional
LEP,NR1H3,0.418,functional_association,functional
LEP,MGAM,0.419,functional_association,functional
LEP,HSPA5,0.427,functional_association,functional
LEP,CAV1,0.428,functional_association,functional
LEP,PRKAG1,0.428,functional_association,functional
LEP,PRKAA2,0.437,functional_association,functional
LEP,ACOX3,0.439,functional_association,functional
CYB5B,CYP7B1,0.435,functional_association,functional
LEP,CD209,0.44,functional_association,functional
LEP,SREBF2,0.449,functional_association,functional
LEP,XPR1,0.449,functional_association,functional
LEP,GSK3B,0.463,functional_association,functional
LEP,HSD11B1,0.465,functional_association,functional
LEP,STK11,0.474,functional_association,functional
LEP,DGAT1,0.578,functional_association,functional
LEP,NCOA1,0.606,functional_association,functional
CASP3,SREBF1,0.471,functional_association,functional
LEP,UCP2,0.885,functional_association,functional
LEP,ACACA,0.824,functional_association,functional
LEP,AKT1,0.825,functional_association,functional
LEP,LPL,0.828,functional_association,functional
LEP,SREBF1,0.836,functional_association,functional
LEP,PPARA,0.839,functional_association,functional
LEP,SLC2A4,0.839,functional_association,functional
LEP,TNF,0.892,functional_association,functional
LEP,FOXO1,0.749,functional_association,functional
LEP,IL6,0.919,functional_association,functional
LEP,GCG,0.976,functional_association,functional
LEP,INS,0.985,functional_association,functional
LEP,ADIPOQ,0.994,functional_association,functional
USP20,HIF1A,0.491,functional_association,functional
CD209,HSD11B1,0.435,functional_association,functional
LEP,ESR1,0.806,functional_association,functional
LEP,PXDNL,0.742,functional_association,functional
LEP,GAPDH,0.612,functional_association,functional
LEP,CD36,0.663,functional_association,functional
LEP,ACTB,0.614,functional_association,functional
LEP,BCL2,0.617,functional_association,functional
LEP,CYP19A1,0.621,functional_association,functional
LEP,ACACB,0.636,functional_association,functional
LEP,ABCA1,0.646,functional_association,functional
LEP,MMP9,0.649,functional_association,functional
LEP,PNPLA2,0.664,functional_association,functional
LEP,MTOR,0.731,functional_association,functional
LEP,RXRA,0.665,functional_association,functional
LEP,IGF1R,0.666,functional_association,functional
LEP,HIF1A,0.682,functional_association,functional
LEP,GPT,0.713,functional_association,functional
LEP,AGT,0.719,functional_association,functional
LEP,SCD,0.723,functional_association,functional
NFYC,NFYA,0.999,functional_association,functional
NFYC,SREBF2,0.696,functional_association,functional
NFYC,HSPA5,0.666,functional_association,functional
CASP3,MTOR,0.723,functional_association,functional
CASP3,FOXO1,0.642,functional_association,functional
CASP3,BACE1,0.67,functional_association,functional
CASP3,CDK5,0.691,functional_association,functional
CASP3,ESR1,0.692,functional_association,functional
CASP3,GPT,0.699,functional_association,functional
CASP3,PSEN1,0.718,functional_association,functional
CASP3,GPX3,0.741,functional_association,functional
CASP3,RHOA,0.633,functional_association,functional
CASP3,GSK3B,0.747,functional_association,functional
CASP3,INS,0.761,functional_association,functional
CASP3,HIF1A,0.766,functional_association,functional
CASP3,GPX5,0.766,functional_association,functional
CASP3,GPX6,0.766,functional_association,functional
CASP3,GPX2,0.769,functional_association,functional
CASP3,LEP,0.639,functional_association,functional
CASP3,IGF1R,0.631,functional_association,functional
NFYC,FDPS,0.586,functional_association,functional
CASP3,GCG,0.512,functional_association,functional
CASP3,CD36,0.475,functional_association,functional
CASP3,LDHA,0.478,functional_association,functional
CASP3,UCP2,0.484,functional_association,functional
CASP3,CAV1,0.486,functional_association,functional
CASP3,GPT2,0.491,functional_association,functional
CASP3,ABCG2,0.511,functional_association,functional
CASP3,SREBF2,0.514,functional_association,functional
CASP3,AGT,0.606,functional_association,functional
CASP3,GPX4,0.539,functional_association,functional
CASP3,TOP2A,0.555,functional_association,functional
CASP3,ICMT,0.56,functional_association,functional
CASP3,CYP3A4,0.565,functional_association,functional
CASP3,PPARA,0.572,functional_association,functional
CASP3,ABCB1,0.578,functional_association,functional
CASP3,GPX8,0.773,functional_association,functional
CASP3,GPX7,0.773,functional_association,functional
CASP3,HSPA5,0.793,functional_association,functional
NFYC,JUN,0.502,functional_association,functional
TRIB1,ACACA,0.471,functional_association,functional
TRIB1,PRKAB1,0.485,functional_association,functional
TRIB1,APOA5,0.623,functional_association,functional
TRIB1,MLXIPL,0.671,functional_association,functional
TRIB1,ANGPTL3,0.703,functional_association,functional
NFYC,RXRA,0.421,functional_association,functional
NFYC,IDI1,0.517,functional_association,functional
CASP3,MMP9,0.806,functional_association,functional
NFYC,HMGCS1,0.526,functional_association,functional
NFYC,DHCR7,0.526,functional_association,functional
NFYC,FDFT1,0.542,functional_association,functional
NFYC,FOXO1,0.545,functional_association,functional
NFYC,PMVK,0.555,functional_association,functional
NFYC,SREBF1,0.581,functional_association,functional
TRIB1,AKT1,0.471,functional_association,functional
TRIB1,PSRC1,0.454,functional_association,functional
TRIB1,PRKAG3,0.443,functional_association,functional
TRIB1,METAP2,0.428,functional_association,functional
TRIB1,PRKAG1,0.425,functional_association,functional
TRIB1,NR1H4,0.414,functional_association,functional
TRIB1,ABCA1,0.408,functional_association,functional
TRIB1,JUN,0.404,functional_association,functional
CASP3,ACTB,0.989,functional_association,functional
CASP3,BCL2,0.987,functional_association,functional
CASP3,AKT1,0.945,functional_association,functional
CASP3,TNF,0.939,functional_association,functional
CASP3,PXDNL,0.918,functional_association,functional
CASP3,GAPDH,0.89,functional_association,functional
CASP3,IL6,0.881,functional_association,functional
CASP3,PTGS2,0.865,functional_association,functional
CASP3,JUN,0.809,functional_association,functional
CYB5B,G6PD,0.459,functional_association,functional
SLCO1A2,CYP2C8,0.691,functional_association,functional
CYB5B,CYP19A1,0.428,functional_association,functional
FASN,RXRA,0.682,functional_association,functional
FASN,CPT2,0.659,functional_association,functional
FASN,SLC2A4,0.668,functional_association,functional
FASN,MTTP,0.673,functional_association,functional
FASN,LPL,0.676,functional_association,functional
FASN,LPIN1,0.68,functional_association,functional
FASN,IRS1,0.682,functional_association,functional
FASN,ELOVL5,0.695,functional_association,functional
FASN,ACOX3,0.646,functional_association,functional
FASN,AKT1,0.697,functional_association,functional
FASN,ADIPOQ,0.709,functional_association,functional
FASN,NSDHL,0.714,functional_association,functional
FASN,INS,0.714,functional_association,functional
FASN,HMGCS2,0.716,functional_association,functional
FASN,GAPDH,0.716,functional_association,functional
FASN,AACS,0.655,functional_association,functional
FASN,HIF1A,0.645,functional_association,functional
FASN,CD36,0.735,functional_association,functional
FASN,HSDL2,0.596,functional_association,functional
FASN,XPR1,0.561,functional_association,functional
FASN,GPT,0.563,functional_association,functional
FASN,ACAT2,0.571,functional_association,functional
FASN,HADHB,0.575,functional_association,functional
FASN,FDFT1,0.589,functional_association,functional
FASN,FDPS,0.591,functional_association,functional
FASN,LDHA,0.604,functional_association,functional
FASN,ACSS1,0.64,functional_association,functional
FASN,LSS,0.621,functional_association,functional
FASN,FADS1,0.624,functional_association,functional
FASN,ACTB,0.626,functional_association,functional
FASN,ABCA1,0.628,functional_association,functional
FASN,DHCR24,0.635,functional_association,functional
FASN,PKLR,0.635,functional_association,functional
FASN,LEP,0.724,functional_association,functional
FASN,DHCR7,0.757,functional_association,functional
FASN,MTOR,0.551,functional_association,functional
IRS1,DGAT1,0.436,functional_association,functional
IRS1,GPX5,0.412,functional_association,functional
IRS1,GPX2,0.413,functional_association,functional
IRS1,GPX6,0.413,functional_association,functional
IRS1,GPX3,0.424,functional_association,functional
IRS1,HSPA5,0.427,functional_association,functional
IRS1,MGAM,0.432,functional_association,functional
IRS1,SREBF2,0.442,functional_association,functional
FASN,ACLY,0.994,functional_association,functional
IRS1,SCD,0.446,functional_association,functional
IRS1,GPT,0.451,functional_association,functional
IRS1,HIF1A,0.451,functional_association,functional
IRS1,GPX7,0.452,functional_association,functional
IRS1,GPX8,0.468,functional_association,functional
IRS1,MLXIPL,0.473,functional_association,functional
FASN,ACACA,0.998,functional_association,functional
FASN,ACACB,0.993,functional_association,functional
FASN,SCD5,0.759,functional_association,functional
FASN,NR1H3,0.827,functional_association,functional
FASN,PNPLA2,0.76,functional_association,functional
FASN,DGAT1,0.768,functional_association,functional
FASN,INSIG1,0.78,functional_association,functional
FASN,PPARA,0.784,functional_association,functional
FASN,ESR1,0.792,functional_association,functional
FASN,MLXIPL,0.813,functional_association,functional
FASN,SREBF2,0.833,functional_association,functional
FASN,SREBF1,0.983,functional_association,functional
FASN,HMGCS1,0.84,functional_association,functional
FASN,ELOVL6,0.918,functional_association,functional
FASN,SCD,0.96,functional_association,functional
FASN,ACSL3,0.964,functional_association,functional
FASN,ACSL4,0.969,functional_association,functional
FASN,ACSL1,0.981,functional_association,functional
FASN,NFYC,0.558,functional_association,functional
FASN,UCP2,0.549,functional_association,functional
CYB5B,SCP2,0.428,functional_association,functional
RNF139,SEL1L,0.942,functional_association,functional
RNF139,AUP1,0.695,functional_association,functional
RNF139,SYVN1,0.795,functional_association,functional
RNF139,SREBF2,0.824,functional_association,functional
RNF139,VCP,0.854,functional_association,functional
RNF139,UBE2G2,0.884,functional_association,functional
RNF139,INSIG1,0.896,functional_association,functional
FASN,CH25H,0.4,functional_association,functional
RNF139,ERLIN2,0.502,functional_association,functional
FASN,PRKAA1,0.406,functional_association,functional
FASN,ABCB11,0.411,functional_association,functional
FASN,MBTPS1,0.416,functional_association,functional
FASN,JUN,0.423,functional_association,functional
FASN,PNLIP,0.425,functional_association,functional
FASN,COQ2,0.426,functional_association,functional
RNF139,ERLIN1,0.503,functional_association,functional
RNF139,UBIAD1,0.41,functional_association,functional
FASN,GPT2,0.43,functional_association,functional
FNTA,CASP3,0.762,functional_association,functional
PCSK9,SREBF2,0.796,functional_association,functional
PCSK9,LDLRAP1,0.808,functional_association,functional
PCSK9,PSRC1,0.812,functional_association,functional
PCSK9,VLDLR,0.973,functional_association,functional
FNTA,MTOR,0.443,functional_association,functional
FNTA,ICMT,0.626,functional_association,functional
FNTA,FDFT1,0.902,functional_association,functional
FNTA,PGGT1B,0.999,functional_association,functional
FNTA,PDSS2,0.927,functional_association,functional
FNTA,NUS1,0.931,functional_association,functional
FNTA,PDSS1,0.941,functional_association,functional
FNTA,DHDDS,0.943,functional_association,functional
FNTA,ZMPSTE24,0.953,functional_association,functional
FNTA,FDPS,0.954,functional_association,functional
FASN,COQ6,0.428,functional_association,functional
FASN,GSK3B,0.44,functional_association,functional
FASN,CYP8B1,0.545,functional_association,functional
FASN,IDI1,0.518,functional_association,functional
FASN,NR1H4,0.497,functional_association,functional
FASN,HSD3B1,0.5,functional_association,functional
FASN,FOXO1,0.504,functional_association,functional
FASN,PLTP,0.509,functional_association,functional
FASN,CYP7B1,0.51,functional_association,functional
FASN,G6PD,0.516,functional_association,functional
FASN,ABCG1,0.522,functional_association,functional
FASN,LIPA,0.49,functional_association,functional
FASN,PPARD,0.527,functional_association,functional
FASN,NFYA,0.534,functional_association,functional
FASN,SPTLC3,0.535,functional_association,functional
FASN,ACAA1,0.536,functional_association,functional
FASN,ABCG5,0.536,functional_association,functional
FASN,CAV1,0.541,functional_association,functional
FASN,HSD11B1,0.492,functional_association,functional
FASN,CYP19A1,0.49,functional_association,functional
FASN,PFKFB3,0.442,functional_association,functional
FASN,SOAT1,0.461,functional_association,functional
FASN,CYP1A1,0.442,functional_association,functional
FASN,DHRS11,0.454,functional_association,functional
FASN,STK11,0.455,functional_association,functional
FASN,VLDLR,0.457,functional_association,functional
FASN,HSPA5,0.458,functional_association,functional
FASN,CYP17A1,0.461,functional_association,functional
