molecule,smiles,qed,sas,logp,tpsa,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x1680f0c10>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(=O)ccccc3nc2-1,0.5049444471530605,3.3393240527777364,1.4398000000000002,98.49,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0c80>,CC1c2cc3n(c(=O)c2COC(=O)C1O)Cc1cc2c(O)cccc2nc1-3,0.4602172292418193,3.8006223954984444,1.652,101.65,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0cf0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0d60>,CC1c2cc3n(c(=O)c2COC(=O)C1O)Cc1cc2ccccc2nc1-3,0.49131912630587454,3.6436385448551256,1.9464,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0dd0>,C=CC(C)=O,0.4161409450120133,2.6029724382324186,0.7614,17.07,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0e40>,C=CC,0.3570688167166915,3.006787807865753,1.1923,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0eb0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(nc2-1)=CC(Cl)=CC=CC=3,0.6114268827581225,4.168874183810191,1.1799000000000002,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0f20>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0f90>,CC,0.3727855551576051,2.7475679189493913,1.0262,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1000>,C=CC,0.3570688167166915,3.006787807865753,1.1923,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1070>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)CC2=CC3=C(C)C3C=CC=C21,0.7904356155836956,4.417824988622392,2.3422,68.53,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f10e0>,CCCC(=O)C(O)CC,0.618952639165544,2.991496295536219,1.1265,37.3,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1150>,CCC(C=O)CO,0.5168357878659916,3.5588805035972833,0.20380000000000004,37.3,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f11c0>,CCCC=O,0.4443450475833798,2.734983411874161,0.9854,17.07,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1230>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2O1,0.5209086728596222,3.6088580037863522,2.2049000000000003,90.65,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f12a0>,CCCC(=O)O,0.5434407472889116,1.7441613175169302,0.8711,37.3,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1310>,CCCC=O,0.4443450475833798,2.734983411874161,0.9854,17.07,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1380>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)CC2=C1N=CN=CCC2=O,0.7387549704915993,4.146063537865231,0.2992999999999999,110.32,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f13f0>,COCc1cccncc2cnc(c(=O)ncs1)CNCC2,0.8864189975228163,4.277795040410263,1.3342,77.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1460>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(nc2-1)=CC=CC=CC=3,0.6316041184310377,4.052369077120483,0.6134000000000002,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f14d0>,Cc1cc2cccc(c1)c1cccc2cnn1,0.5775408234205441,3.359150889532863,3.653620000000002,25.78,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1540>,CCN1CCCCC2OC(OC)C13C=C(N)C2=C3,0.804203704664335,5.970644807738029,1.3848999999999998,47.72,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f15b0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1620>,CCC=O,0.40325990291792796,2.6262922772372104,0.5952999999999999,17.07,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1690>,CC=CC(C)C(=O)O,0.5489293346787395,3.387345247388124,1.2832000000000001,37.3,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1700>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)CC2=CC3=CC=CC=CC3=NC=C21,0.7650696567158831,4.260501000197406,2.2906000000000004,80.89,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1770>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f17e0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc[c-]cc3nc2-1,0.41995219780332127,4.198166656017115,1.87979,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1850>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cccc-3ncc2-1,0.5324483637337561,3.311460834811294,2.0312,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f18c0>,CCCC=O,0.4443450475833798,2.734983411874161,0.9854,17.07,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1930>,CCC1c2cc3n(c(=O)c2CC(=O)C1O)Cc1cc2c(nc1-3)=CC=2,0.6754565016648908,4.518028975683307,-0.17369999999999997,72.19,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f19a0>,CC1c2cc3n(c(=O)c2COC(=O)C1O)Cc1cc2c(nc1-3)=C(N(C)N)C=2,0.30635572623303853,4.614357237603708,-1.4989999999999977,110.67999999999999,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1a10>,CCCC,0.4310243576713092,1.605723046467979,1.8064,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1a80>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1af0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(nc2-1)=CC=CC=CC=3,0.6316041184310377,4.052369077120483,0.6134000000000002,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1b60>,C,0.3597849378839701,7.3284153846153846,0.6361,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1bd0>,CCC,0.3854706587740357,1.7549570386349824,1.4163,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1c40>,CCCCCO,0.513281356352027,1.5664517021323139,1.1689,20.23,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1cb0>,CCCCCCCCC(=O)O,0.5783198770575686,1.5080295670664619,2.821600000000001,37.3,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1d20>,CCCCCC=CC(=O)O,0.4716861572636394,2.043187315393464,2.2074999999999996,37.3,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1d90>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1e00>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)CC2=Cc3ccccc3N=CC=C21,0.7785008990861443,3.859609846351253,2.699200000000001,80.89,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1e70>,CCC=CC(C)=O,0.4786524594024578,2.591192817293308,1.5416,17.07,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1ee0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1f50>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)CC2=CC3=CC=CC=CC3=NC=C21,0.7650696567158831,4.260501000197406,2.2906000000000004,80.89,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f1fc0>,CC1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.49217185644023226,3.378304078054537,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2030>,[CH2]C12N=C3C=CC(=O)C=C3C=C1Cn1c2cc2c(c1=O)COC(=O)C2(O)CC,0.5814499965927393,4.762267743505273,0.9919900000000001,97.96,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f20a0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2110>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)CC2=CC3=NC=C[CH]C3=NC21[N],0.72210097114676,5.034382112097635,0.29139000000000004,115.55,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2180>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2N1,0.5035328176113462,3.5911780837064304,2.1562,93.45,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f21f0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2260>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f22d0>,CC=CCC,0.41363968044003097,2.880495837909665,1.9725,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2340>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2P1,0.3942884215804166,4.185791755086226,1.0418999999999996,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f23b0>,CC,0.3727855551576051,2.7475679189493913,1.0262,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2420>,CCC1(O)C(=O)OCc2c1nc1n(c2=O)Cc2cc3ccccc3nc2-1,0.523157231790749,3.508427986578445,1.4746000000000001,94.30999999999999,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2490>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)CC2=CC3=C(O)C(O)C3=CC=C21,0.6380025621645871,4.495590468372939,0.9527000000000003,108.99000000000001,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2500>,CCC(O)CC(=O)OCc1c2cc-2n(Cc2cc3ccc(OC)c-3ncc2C)c1=O,0.45100588328534263,3.3393034772839227,2.8980200000000016,90.65,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2570>,COC1=CC2(C=C1)OCOC=NC(CO)=CNC1=CC=C1C1=CC2=C1,0.8053899599981865,6.54939757085425,1.9714999999999998,72.31,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f25e0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)CC2=CC3=CC(O)=CC=C(F)N3N21,0.5598977123133525,4.706055585996223,1.5875000000000001,95.24,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2650>,CCCC(=O)O,0.5434407472889116,1.7441613175169302,0.8711,37.3,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f26c0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2730>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)CC2=C([PH+]N=C3C=CC3=C2)[IH]1,0.2881517331718252,5.402216091632674,2.144800000000001,80.89,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f27a0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)CC2=C(CO)B3C=C(O)C=C3N=C21,0.4929381000876717,4.7246236333335005,0.05970000000000031,121.35000000000001,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2810>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2880>,CCCCO,0.5128217987135146,1.8791313408682448,0.7787999999999999,20.23,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f28f0>,CCCCO,0.5128217987135146,1.8791313408682448,0.7787999999999999,20.23,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2960>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(Br)cccc3nc2-1,0.47287139638102144,3.3400002878181088,2.842100000000001,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f29d0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2a40>,CCC,0.3854706587740357,1.7549570386349824,1.4163,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2ab0>,CCl,0.3573626606013345,3.0453986881801605,0.855,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2b20>,CC=C(C)C(C)C(=O)O,0.5742195344383226,3.278711497725334,1.6733,37.3,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2b90>,COC1=S2C=C[F+]C=Cc3c(ccc(CCO)c(N)c4ncccc4nc32)C=C1,0.7354423162261956,6.208152607825199,3.842600000000002,81.26,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2c00>,CCC1(O)c2cc3n(c(=O)c2CC1C=O)Cc1cc2ccccc2nc1-3,0.5658395945929391,3.8028824117989934,2.394,72.19,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2c70>,CCC1(O)C(=O)OCc2c1cc1c3nc4ccccc4cc3[nH]n1c2=O,0.5123402555618813,3.5404219574724163,1.9833999999999998,96.68999999999998,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2ce0>,CC,0.3727855551576051,2.7475679189493913,1.0262,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2d50>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2dc0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2e30>,CCC1NCC1(O)C(=O)O,0.4747412507706358,4.2410964294234486,-0.8161,69.56,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2ea0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(F)ccc3nc2-1,0.522598162670813,3.285584903202725,2.2187,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2f10>,CCC(=O)O,0.4908446664452932,1.6443780326380129,0.481,37.3,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2f80>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cccc(=O)cc3nc2-1,0.5049444471530605,3.4591721540435616,1.4398,98.49,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f2ff0>,CCCC=O,0.4443450475833798,2.734983411874161,0.9854,17.07,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3060>,CCC1(O)C(=O)OCC2=C1C=C1c3nc4ccccc4cc3C[SH]1C2=O,0.5985594799414617,4.5498749273915085,2.6252000000000004,76.49000000000001,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f30d0>,CC,0.3727855551576051,2.7475679189493913,1.0262,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3140>,CCC,0.3854706587740357,1.7549570386349824,1.4163,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f31b0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3220>,CC1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.49217185644023226,3.378304078054537,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3290>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3300>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3370>,CCCC(O)C(=O)OCc1c2cc-2n(Cc2cnc3ccccc3c2)c1=O,0.509961631284101,3.144707953836302,2.6294000000000004,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f33e0>,CCCC=CC(=O)O,0.5633017228709407,2.2952885500951385,1.4273,37.3,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3450>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cnccc3nc2-1,0.523157231790749,3.385002622753081,1.4746,94.31,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f34c0>,CO,0.38528440447384316,2.701044842026315,-0.3915,20.23,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3530>,CC1c2cc3n(c(=O)c2COC(=O)C1O)CC1=CC2=C(NO)C(=O)N2C=C13,0.4588505293593815,4.768880314526784,-0.3033999999999996,121.10000000000001,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f35a0>,CCC(C)O,0.48692742928420435,2.425128656004924,0.7771999999999999,20.23,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3610>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3680>,CCCCC=O,0.3742788667470001,2.2412786252092385,1.3755,17.07,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f36f0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)CC2=C1N=C1C=CC(=C1)C2CO,0.7537891735743031,5.242420853450367,0.7867000000000002,101.12,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3760>,CCCC,0.4310243576713092,1.605723046467979,1.8064,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f37d0>,CNC1=C2C=CC=C3C(=NC2=Cc2ccc(OC)cccccc23)N=N1,0.8645846988836993,4.7001169388563735,4.422600000000004,58.34,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3840>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)CC2=CCn3cccc3N=C21,0.786703095977079,4.093326947077406,1.3786,85.82000000000001,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f38b0>,CCOC(=O)O,0.48188683745544014,2.1829367021323147,0.7009000000000001,46.53,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3920>,CCC=C(C)O,0.4827205139218448,3.0388320867477,1.8582,20.23,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3990>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3a00>,CCC,0.3854706587740357,1.7549570386349824,1.4163,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3a70>,CO,0.38528440447384316,2.701044842026315,-0.3915,20.23,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3ae0>,CCC1(O)C(=O)OCc2c1cc1c3nc4ccccc4cc3[nH]n1c2=O,0.5123402555618813,3.5404219574724163,1.9833999999999998,96.68999999999998,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3b50>,CCCC1(O)C(=O)Cc2c1cc1n(c2=O)CC2=CC3=C(O)C3N=C21,0.8452524787817974,4.6137315791816516,0.8982000000000001,91.89,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3bc0>,C=C,0.34449676855385364,4.08999868818016,0.8022,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3c30>,CCC1(O)C(=O)OCc2c1cc1c3c4c(cc3[nH]n1c2=O)=C(F)CCN=C4,0.6270288873115885,4.411351907251308,1.0544000000000002,96.15999999999998,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f3ca0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
