doid_code,doid_name,diseaseId,geneId,geneSymbol,geneName,diseaseName,score,NumberOfPubmeds,associationType,source
DOID:2531,hematologic cancer,umls:C0001815,6774,STAT3,signal transducer and activator of transcription 3 (acute-phase response factor),Primary Myelofibrosis,0.003656595345104,4,"Biomarker, GeneticVariation","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,4982,TNFRSF11B,"tumor necrosis factor receptor superfamily, member 11b",Primary Myelofibrosis,0.003656595345104,4,"AlteredExpression, Biomarker","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,3576,CXCL8,chemokine (C-X-C motif) ligand 8,Primary Myelofibrosis,0.003656595345104,4,"AlteredExpression, Biomarker","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,8091,HMGA2,high mobility group AT-hook 2,Primary Myelofibrosis,0.003656595345104,4,"AlteredExpression, Biomarker, GeneticVariation","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,3815,KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,Primary Myelofibrosis,0.0033730907750103,4,"Biomarker, GeneticVariation","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,6387,CXCL12,chemokine (C-X-C motif) ligand 12,Primary Myelofibrosis,0.0033730907750103,3,Biomarker,"BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,7422,VEGFA,vascular endothelial growth factor A,Primary Myelofibrosis,0.0033730907750103,4,"AlteredExpression, Biomarker, GeneticVariation","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,2623,GATA1,GATA binding protein 1 (globin transcription factor 1),Primary Myelofibrosis,0.0033730907750103,3,Biomarker,"BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,3418,IDH2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",Primary Myelofibrosis,0.0031675812296285,3,"Biomarker, GeneticVariation","BeFree, GAD"
DOID:2531,hematologic cancer,umls:C0001815,3417,IDH1,"isocitrate dehydrogenase 1 (NADP+), soluble",Primary Myelofibrosis,0.0031675812296285,3,"Biomarker, GeneticVariation","BeFree, GAD"
DOID:2531,hematologic cancer,umls:C0001815,613,BCR,breakpoint cluster region,Primary Myelofibrosis,0.0031185502710303,11,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,2247,FGF2,fibroblast growth factor 2 (basic),Primary Myelofibrosis,0.0030895862049166,3,"AlteredExpression, Biomarker","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,2289,FKBP5,FK506 binding protein 5,Primary Myelofibrosis,0.0030895862049166,2,"AlteredExpression, Biomarker","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,6863,TAC1,"tachykinin, precursor 1",Primary Myelofibrosis,0.0030895862049166,3,Biomarker,"BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,2335,FN1,fibronectin 1,Primary Myelofibrosis,0.0030895862049166,3,Biomarker,"BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,2120,ETV6,ets variant 6,Primary Myelofibrosis,0.0030895862049166,2,"AlteredExpression, Biomarker","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,83886,PRSS27,"protease, serine 27",Primary Myelofibrosis,0.0028350457009367,10,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,4869,NPM1,"nucleophosmin (nucleolar phosphoprotein B23, numatrin)",Primary Myelofibrosis,0.002806081634823,2,Biomarker,"BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,3855,KRT7,"keratin 7, type II",Primary Myelofibrosis,0.002806081634823,1,"AlteredExpression, Biomarker","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,3579,CXCR2,chemokine (C-X-C motif) receptor 2,Primary Myelofibrosis,0.002806081634823,1,"AlteredExpression, Biomarker","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,4317,MMP8,matrix metallopeptidase 8 (neutrophil collagenase),Primary Myelofibrosis,0.002806081634823,1,"AlteredExpression, Biomarker","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,9241,NOG,noggin,Primary Myelofibrosis,0.002806081634823,1,"AlteredExpression, Biomarker","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,3577,CXCR1,chemokine (C-X-C motif) receptor 1,Primary Myelofibrosis,0.002806081634823,1,"AlteredExpression, Biomarker","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,655,BMP7,bone morphogenetic protein 7,Primary Myelofibrosis,0.002806081634823,1,"AlteredExpression, Biomarker","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,654,BMP6,bone morphogenetic protein 6,Primary Myelofibrosis,0.002806081634823,1,"AlteredExpression, Biomarker","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,4162,MCAM,melanoma cell adhesion molecule,Primary Myelofibrosis,0.002806081634823,2,Biomarker,"BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,5915,RARB,"retinoic acid receptor, beta",Primary Myelofibrosis,0.002806081634823,1,"AlteredExpression, Biomarker","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,7066,THPO,thrombopoietin,Primary Myelofibrosis,0.002551541130843,9,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,171023,ASXL1,additional sex combs like transcriptional regulator 1,Primary Myelofibrosis,0.002551541130843,9,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,4323,MMP14,matrix metallopeptidase 14 (membrane-inserted),Primary Myelofibrosis,0.0025225770647293,1,AlteredExpression,LHGDN
DOID:2531,hematologic cancer,umls:C0001815,3939,LDHA,lactate dehydrogenase A,Primary Myelofibrosis,0.0025225770647293,1,Biomarker,LHGDN
DOID:2531,hematologic cancer,umls:C0001815,5553,PRG2,"proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein)",Primary Myelofibrosis,0.0025225770647293,1,AlteredExpression,LHGDN
DOID:2531,hematologic cancer,umls:C0001815,5155,PDGFB,platelet-derived growth factor beta polypeptide,Primary Myelofibrosis,0.0025225770647293,1,AlteredExpression,LHGDN
DOID:2531,hematologic cancer,umls:C0001815,664,BNIP3,BCL2/adenovirus E1B 19kDa interacting protein 3,Primary Myelofibrosis,0.0025225770647293,1,AlteredExpression,LHGDN
DOID:2531,hematologic cancer,umls:C0001815,4322,MMP13,matrix metallopeptidase 13 (collagenase 3),Primary Myelofibrosis,0.0025225770647293,1,AlteredExpression,LHGDN
DOID:2531,hematologic cancer,umls:C0001815,649,BMP1,bone morphogenetic protein 1,Primary Myelofibrosis,0.0025225770647293,1,AlteredExpression,LHGDN
DOID:2531,hematologic cancer,umls:C0001815,161882,ZFPM1,"zinc finger protein, FOG family member 1",Primary Myelofibrosis,0.0025225770647293,1,Biomarker,LHGDN
DOID:2531,hematologic cancer,umls:C0001815,2022,ENG,endoglin,Primary Myelofibrosis,0.0025225770647293,1,AlteredExpression,LHGDN
DOID:2531,hematologic cancer,umls:C0001815,3945,LDHB,lactate dehydrogenase B,Primary Myelofibrosis,0.0025225770647293,1,Biomarker,LHGDN
DOID:2531,hematologic cancer,umls:C0001815,4597,MVD,mevalonate (diphospho) decarboxylase,Primary Myelofibrosis,0.0019845319906556,7,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,102606463,LINC01152,long intergenic non-protein coding RNA 1152,Primary Myelofibrosis,0.0019845319906556,7,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,6776,STAT5A,signal transducer and activator of transcription 5A,Primary Myelofibrosis,0.001701027420562,6,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,6777,STAT5B,signal transducer and activator of transcription 5B,Primary Myelofibrosis,0.001701027420562,6,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,57126,CD177,CD177 molecule,Primary Myelofibrosis,0.0014175228504683,5,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,79139,DERL1,derlin 1,Primary Myelofibrosis,0.0014175228504683,5,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,861,RUNX1,runt-related transcription factor 1,Primary Myelofibrosis,0.000850513710281,3,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,2056,EPO,erythropoietin,Primary Myelofibrosis,0.000850513710281,3,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,3439,IFNA1,"interferon, alpha 1",Primary Myelofibrosis,0.000850513710281,3,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,3447,IFNA13,"interferon, alpha 13",Primary Myelofibrosis,0.000850513710281,3,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,6427,SRSF2,serine/arginine-rich splicing factor 2,Primary Myelofibrosis,0.000850513710281,3,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,7157,TP53,tumor protein p53,Primary Myelofibrosis,0.000850513710281,3,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,867,CBL,"Cbl proto-oncogene, E3 ubiquitin protein ligase",Primary Myelofibrosis,0.0005670091401873,2,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,923,CD6,CD6 molecule,Primary Myelofibrosis,0.0005670091401873,2,GeneticVariation,BeFree
DOID:2531,hematologic cancer,umls:C0001815,1029,CDKN2A,cyclin-dependent kinase inhibitor 2A,Primary Myelofibrosis,0.0005670091401873,2,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,2288,FKBP4,"FK506 binding protein 4, 59kDa",Primary Myelofibrosis,0.0005670091401873,2,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,2317,FLNB,"filamin B, beta",Primary Myelofibrosis,0.0005670091401873,2,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,2908,NR3C1,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",Primary Myelofibrosis,0.0005670091401873,2,GeneticVariation,BeFree
DOID:2531,hematologic cancer,umls:C0001815,4778,NFE2,"nuclear factor, erythroid 2",Primary Myelofibrosis,0.0005670091401873,2,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,4893,NRAS,neuroblastoma RAS viral (v-ras) oncogene homolog,Primary Myelofibrosis,0.0005670091401873,2,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,5048,PAFAH1B1,"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)",Primary Myelofibrosis,0.0005670091401873,2,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,5542,PRB1,proline-rich protein BstNI subfamily 1,Primary Myelofibrosis,0.0005670091401873,2,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,6343,SCT,secretin,Primary Myelofibrosis,0.0005670091401873,2,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,7297,TYK2,tyrosine kinase 2,Primary Myelofibrosis,0.0005670091401873,2,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,7531,YWHAE,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon",Primary Myelofibrosis,0.0005670091401873,2,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,9734,HDAC9,histone deacetylase 9,Primary Myelofibrosis,0.0005670091401873,2,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,11311,VPS45,vacuolar protein sorting 45 homolog (S. cerevisiae),Primary Myelofibrosis,0.0005670091401873,2,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,23451,SF3B1,"splicing factor 3b, subunit 1, 155kDa",Primary Myelofibrosis,0.0005670091401873,2,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,56955,MEPE,matrix extracellular phosphoglycoprotein,Primary Myelofibrosis,0.0005670091401873,2,GeneticVariation,BeFree
DOID:2531,hematologic cancer,umls:C0001815,324,APC,adenomatous polyposis coli,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,675,BRCA2,"breast cancer 2, early onset",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,690,BTF3P11,basic transcription factor 3 pseudogene 11,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,760,CA2,carbonic anhydrase II,Primary Myelofibrosis,0.0002835045700936,1,GeneticVariation,BeFree
DOID:2531,hematologic cancer,umls:C0001815,788,SLC25A20,"solute carrier family 25 (carnitine/acylcarnitine translocase), member 20",Primary Myelofibrosis,0.0002835045700936,1,GeneticVariation,BeFree
DOID:2531,hematologic cancer,umls:C0001815,928,CD9,CD9 molecule,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,967,CD63,CD63 molecule,Primary Myelofibrosis,0.0002835045700936,1,GeneticVariation,BeFree
DOID:2531,hematologic cancer,umls:C0001815,1030,CDKN2B,"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,1048,CEACAM5,carcinoembryonic antigen-related cell adhesion molecule 5,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,1437,CSF2,colony stimulating factor 2 (granulocyte-macrophage),Primary Myelofibrosis,0.0002835045700936,1,GeneticVariation,BeFree
DOID:2531,hematologic cancer,umls:C0001815,1440,CSF3,colony stimulating factor 3 (granulocyte),Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,1441,CSF3R,colony stimulating factor 3 receptor (granulocyte),Primary Myelofibrosis,0.0002835045700936,1,GeneticVariation,BeFree
DOID:2531,hematologic cancer,umls:C0001815,1612,DAPK1,death-associated protein kinase 1,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,1822,ATN1,atrophin 1,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,2057,EPOR,erythropoietin receptor,Primary Myelofibrosis,0.0002835045700936,1,GeneticVariation,BeFree
DOID:2531,hematologic cancer,umls:C0001815,2321,FLT1,fms-related tyrosine kinase 1,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,2475,MTOR,mechanistic target of rapamycin (serine/threonine kinase),Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,2548,GAA,"glucosidase, alpha; acid",Primary Myelofibrosis,0.0002835045700936,1,GeneticVariation,BeFree
DOID:2531,hematologic cancer,umls:C0001815,2651,GCNT2,"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,2744,GLS,glutaminase,Primary Myelofibrosis,0.0002835045700936,1,GeneticVariation,BeFree
DOID:2531,hematologic cancer,umls:C0001815,3248,HPGD,hydroxyprostaglandin dehydrogenase 15-(NAD),Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,3440,IFNA2,"interferon, alpha 2",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,3481,IGF2,insulin-like growth factor 2,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,3552,IL1A,"interleukin 1, alpha",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,3553,IL1B,"interleukin 1, beta",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,3569,IL6,interleukin 6,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,3600,IL15,interleukin 15,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,3718,JAK3,Janus kinase 3,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,3720,JARID2,"jumonji, AT rich interactive domain 2",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,3918,LAMC2,"laminin, gamma 2",Primary Myelofibrosis,0.0002835045700936,1,GeneticVariation,BeFree
DOID:2531,hematologic cancer,umls:C0001815,4015,LOX,lysyl oxidase,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,4602,MYB,v-myb avian myeloblastosis viral oncogene homolog,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,4680,CEACAM6,carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen),Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,4851,NOTCH1,notch 1,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,4879,NPPB,natriuretic peptide B,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,5047,PAEP,progestagen-associated endometrial protein,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,5290,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,5291,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit beta",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,5292,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,5293,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,5294,PIK3CG,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit gamma",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,5624,PROC,protein C (inactivator of coagulation factors Va and VIIIa),Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,5741,PTH,parathyroid hormone,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,5744,PTHLH,parathyroid hormone-like hormone,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,5747,PTK2,protein tyrosine kinase 2,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,5775,PTPN4,"protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,5917,RARS,arginyl-tRNA synthetase,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,5979,RET,ret proto-oncogene,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,6347,CCL2,chemokine (C-C motif) ligand 2,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,6403,SELP,"selectin P (granule membrane protein 140kDa, antigen CD62)",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,6578,SLCO2A1,"solute carrier organic anion transporter family, member 2A1",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,6678,SPARC,"secreted protein, acidic, cysteine-rich (osteonectin)",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,6714,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,6886,TAL1,T-cell acute lymphocytic leukemia 1,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,7001,PRDX2,peroxiredoxin 2,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,7048,TGFBR2,"transforming growth factor, beta receptor II (70/80kDa)",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,7070,THY1,Thy-1 cell surface antigen,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,7173,TPO,thyroid peroxidase,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,7220,TRPC1,"transient receptor potential cation channel, subfamily C, member 1",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,7223,TRPC4,"transient receptor potential cation channel, subfamily C, member 4",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,7248,TSC1,tuberous sclerosis 1,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,7750,ZMYM2,"zinc finger, MYM-type 2",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,7841,MOGS,mannosyl-oligosaccharide glucosidase,Primary Myelofibrosis,0.0002835045700936,1,GeneticVariation,BeFree
DOID:2531,hematologic cancer,umls:C0001815,8101,CLLS2,Disrupted in B-cell neoplasia,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,8328,GFI1B,growth factor independent 1B transcription repressor,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,8506,CNTNAP1,contactin associated protein 1,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,8651,SOCS1,suppressor of cytokine signaling 1,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,8763,CD164,"CD164 molecule, sialomucin",Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,8788,DLK1,delta-like 1 homolog (Drosophila),Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,9021,SOCS3,suppressor of cytokine signaling 3,Primary Myelofibrosis,0.0002835045700936,1,GeneticVariation,BeFree
DOID:2531,hematologic cancer,umls:C0001815,10013,HDAC6,histone deacetylase 6,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,10573,MRPL28,mitochondrial ribosomal protein L28,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,10923,SUB1,SUB1 homolog (S. cerevisiae),Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,11116,FGFR1OP,FGFR1 oncogene partner,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,23218,NBEAL2,neurobeachin-like 2,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,26040,SETBP1,SET binding protein 1,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,26097,CHTOP,chromatin target of PRMT1,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,29107,NXT1,nuclear transport factor 2-like export factor 1,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
DOID:2531,hematologic cancer,umls:C0001815,51009,DERL2,derlin 2,Primary Myelofibrosis,0.0002835045700936,1,GeneticVariation,BeFree
DOID:2531,hematologic cancer,umls:C0001815,51176,LEF1,lymphoid enhancer-binding factor 1,Primary Myelofibrosis,0.0002835045700936,1,Biomarker,BeFree
