action_type	activity_comment	activity_id	activity_properties	assay_chembl_id	assay_description	assay_type	assay_variant_accession	assay_variant_mutation	bao_endpoint	bao_format	bao_label	canonical_smiles	data_validity_comment	data_validity_description	document_chembl_id	document_journal	document_year	ligand_efficiency	molecule_chembl_id	molecule_pref_name	parent_molecule_chembl_id	pchembl_value	potential_duplicate	qudt_units	record_id	relation	src_id	standard_flag	standard_relation	standard_text_value	standard_type	standard_units	standard_upper_value	standard_value	target_chembl_id	target_organism	target_pref_name	target_tax_id	text_value	toid	type	units	uo_units	upper_value	value
		149748	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	Cc1nn(Cc2ccccc2)c2nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c3ccc(F)cc3)c12.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL24342		CHEMBL1204789		0		33007	=	1	0	=		Relative potency			17.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				17.0
		150971	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	Cc1c2c(-c3ccc(F)cc3)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)nc2nn1-c1ccccc1.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL282563		CHEMBL1206527		0		33019	=	1	0	=		Relative potency			12.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				12.0
		153434	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	CC(C)c1nc2c(c(-c3ccccc3)nn2C)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL287185		CHEMBL1206606		0		33021	=	1	0	=		Relative potency			6.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				6.0
		153438	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	COc1ccc(-n2nc(C)c3c(-c4ccc(F)cc4)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)nc32)cc1.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL24392		CHEMBL1204790		0		33009	=	1	0	=		Relative potency			149.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				149.0
		154642	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	CCn1ncc2c(-c3ccc(F)cc3)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)nc21.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL421860		CHEMBL1207631		0		33020	=	1	0	=		Relative potency			39.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				39.0
		159563	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	Cc1nn(C(C)(C)C)c2nc(C3CC3)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c3ccc(F)cc3)c12.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL23768		CHEMBL1204784		0		32984	=	1	0	=		Relative potency			11.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				11.0
		159567	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	CC(C)c1nc2onc(-c3ccccc3)c2c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL283867		CHEMBL1206544		0		33017	=	1	0	=		Relative potency			1.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				1.0
		160782	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	Cc1cc2c(-c3ccc(F)cc3)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)nc2s1.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL281767		CHEMBL1206520		0		33015	=	1	0	=		Relative potency			22.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				22.0
		162005	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	CC(C)c1cc2nc(C3CC3)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c3ccc(F)cc3)n2n1.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL24485		CHEMBL1204793		0		32994	=	1	0	=		Relative potency			1.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				1.0
		163398	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	Cc1nn(C(C)(C)C)c2nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c3ccc(F)cc3)c12.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL23119		CHEMBL1204775		0		32983	=	1	0	=		Relative potency			31.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				31.0
		163402	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	CC(C)c1cc2c(-c3ccc(F)cc3)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)nc2s1.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL23633		CHEMBL1204783		0		33014	=	1	0	=		Relative potency			62.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				62.0
		163407	[]	CHEMBL690064	In vitro HMG-CoA reductase inhibitory activity to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line)	B			BAO_0000179	BAO_0000219	cell-based format	CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL690	PRAVASTATIN SODIUM	CHEMBL1144		0		32987	=	1	0	=		Relative potency			1.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				1.0
		163408	[]	CHEMBL692724	In vitro HMG-CoA reductase inhibitory activity to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line)	B			BAO_0000190	BAO_0000219	cell-based format	CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0	{'bei': '13.81', 'le': '0.27', 'lle': '3.42', 'sei': '4.72'}	CHEMBL690	PRAVASTATIN SODIUM	CHEMBL1144	5.86	0	http://www.openphacts.org/units/Nanomolar	32987	=	1	1	=		IC50	nM		1370.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			IC50	uM	UO_0000065		1.37
		164444	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	Cc1nn(-c2ccccn2)c2nc(C3CC3)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c3ccc(F)cc3)c12.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL424590		CHEMBL1207657		0		33008	=	1	0	=		Relative potency			4.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				4.0
		164446	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	Cc1nn2c(-c3ccc(F)cc3)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C3CC3)nc2c1C.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL22762		CHEMBL1204768		0		32990	=	1	0	=		Relative potency			3.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				3.0
		165599	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	CC(C)c1nc2c(c(C3CC3)nn2-c2ccccc2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL431303		CHEMBL1207703		0		33004	=	1	0	=		Relative potency			7.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				7.0
		165601	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	CCc1c(C)sc2nc(C3CC3)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c3ccc(F)cc3)c12.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL287411		CHEMBL1206609		0		33011	=	1	0	=		Relative potency			38.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				38.0
		165603	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	Cc1cc2nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c3ccc(F)cc3)n2n1.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL280720		CHEMBL1206509		0		32996	=	1	0	=		Relative potency			3.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				3.0
		166942	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	Cc1noc2nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c3ccc(F)cc3)c12.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL24477		CHEMBL1204792		0		33018	=	1	0	=		Relative potency			1.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				1.0
		166944	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	CC(C)c1nc2sc3c(c2c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])CCC3.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL23581		CHEMBL1204781		0		33000	=	1	0	=		Relative potency			49.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				49.0
		168273	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	Cc1sc2nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c3ccc(F)cc3)c2c1-c1ccccc1.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL24062		CHEMBL1204786		0		33001	<	1	0	<		Relative potency			1.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				1.0
		168275	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2sc3c(c2c1-c1ccc(F)cc1)CCCCC3.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL431293		CHEMBL1207702		0		32997	=	1	0	=		Relative potency			2.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				2.0
		168277	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	Cc1nn2c(-c3ccc(F)cc3)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C3CC3)nc2c1-c1ccccc1.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL24286		CHEMBL1204788		0		32989	=	1	0	=		Relative potency			3.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				3.0
		169452	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	CC(C)(C)n1nc(-c2ccccc2)c2c(-c3ccc(F)cc3)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C3CC3)nc21.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL284700		CHEMBL1206566		0		33003	<	1	0	<		Relative potency			1.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				1.0
		170613	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	Cc1cc2nc(C3CC3)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c3ccc(F)cc3)n2n1.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL24432		CHEMBL1204791		0		32995	=	1	0	=		Relative potency			2.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				2.0
		171852	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	Cc1nn(C)c2nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c3ccc(F)cc3)c12.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL416185		CHEMBL1207568		0		32981	=	1	0	=		Relative potency			15.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				15.0
		171856	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	Cn1nc(-c2ccccc2)c2c(-c3ccc(F)cc3)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C3CC3)nc21.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL277480		CHEMBL1206470		0		32985	=	1	0	=		Relative potency			14.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				14.0
		171860	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	Cc1nn(-c2ccccc2)c2nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c3ccc(F)cc3)c12.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL25953		CHEMBL1204801		0		33010	=	1	0	=		Relative potency			1.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				1.0
		171864	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2sccc2c1-c1ccc(F)cc1.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL282194		CHEMBL1206524		0		33016	=	1	0	=		Relative potency			60.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				60.0
		175324	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	CC(C)(C)n1nc(C2CC2)c2c(-c3ccc(F)cc3)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C3CC3)nc21.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL280902		CHEMBL1206511		0		33005	=	1	0	=		Relative potency			2.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				2.0
		175326	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	CC(C)c1nc2cc(C(C)(C)C)nn2c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL283119		CHEMBL1206539		0		32993	<	1	0	<		Relative potency			1.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				1.0
